Iteration,Naive Bayes,Hoeffding Tree,IELM,SGD Perceptron
1,0.0000,0.0000,1.0000,1.0000
2,0.0000,0.0000,0.5000,0.5000
3,0.3333,0.3333,0.6667,0.6667
4,0.5000,0.5000,0.5000,0.5000
5,0.4000,0.4000,0.6000,0.6000
6,0.3333,0.3333,0.6667,0.6667
7,0.4286,0.4286,0.5714,0.5714
8,0.5000,0.5000,0.6250,0.6250
9,0.4444,0.5556,0.6667,0.6667
10,0.5000,0.6000,0.7000,0.7000
11,0.4545,0.5455,0.7273,0.7273
12,0.5000,0.5833,0.7500,0.7500
13,0.5385,0.6154,0.7692,0.7692
14,0.5000,0.6429,0.7857,0.7143
15,0.4667,0.6667,0.8000,0.7333
16,0.5000,0.6875,0.8125,0.7500
17,0.4706,0.7059,0.8235,0.7647
18,0.5000,0.7222,0.8333,0.7778
19,0.5263,0.7368,0.8421,0.7895
20,0.5000,0.7500,0.8500,0.8000
21,0.5238,0.7619,0.8571,0.8095
22,0.5000,0.7727,0.8636,0.8182
23,0.5217,0.7826,0.8696,0.8261
24,0.5417,0.7917,0.8750,0.8333
25,0.5600,0.8000,0.8800,0.8400
26,0.5769,0.8077,0.8846,0.8462
27,0.5926,0.8148,0.8889,0.8519
28,0.6071,0.8214,0.8929,0.8571
29,0.5862,0.8276,0.8966,0.8621
30,0.5667,0.8333,0.9000,0.8667
31,0.5484,0.8387,0.9032,0.8710
32,0.5625,0.8438,0.9062,0.8750
33,0.5758,0.8485,0.9091,0.8788
34,0.5588,0.8529,0.9118,0.8824
35,0.5714,0.8571,0.9143,0.8857
36,0.5556,0.8611,0.9167,0.8889
37,0.5676,0.8649,0.9189,0.8919
38,0.5789,0.8684,0.9211,0.8947
39,0.5897,0.8718,0.9231,0.8974
40,0.6000,0.8750,0.9250,0.8750
41,0.5854,0.8780,0.9268,0.8780
42,0.5714,0.8810,0.9286,0.8571
43,0.5581,0.8837,0.9302,0.8605
44,0.5455,0.8864,0.9318,0.8636
45,0.5556,0.8889,0.9333,0.8667
46,0.5652,0.8913,0.9348,0.8696
47,0.5745,0.8936,0.9362,0.8723
48,0.5833,0.8958,0.9375,0.8750
49,0.5918,0.8980,0.9388,0.8776
50,0.6000,0.9000,0.9400,0.8800
