Iteration,Gaussian NB,Hoeffding Tree,IELM,SGD Perceptron,Adaptive RF
1,0.0000,0.0000,0.0000,0.0000,0.0000
2,0.5000,0.5000,0.5000,0.5000,0.5000
3,0.6667,0.6667,0.6667,0.6667,0.6667
4,0.7500,0.7500,0.7500,0.7500,0.7500
5,0.6000,0.6000,0.6000,0.6000,0.6000
6,0.5000,0.5000,0.6667,0.6667,0.5000
7,0.5714,0.5714,0.7143,0.7143,0.5714
8,0.6250,0.6250,0.7500,0.7500,0.6250
9,0.6667,0.6667,0.7778,0.7778,0.6667
10,0.7000,0.7000,0.8000,0.8000,0.7000
11,0.6364,0.6364,0.7273,0.7273,0.6364
12,0.6667,0.6667,0.7500,0.7500,0.6667
13,0.6923,0.6923,0.7692,0.7692,0.6923
14,0.6429,0.6429,0.7143,0.7143,0.6429
15,0.6667,0.6667,0.7333,0.7333,0.6667
16,0.6875,0.6875,0.7500,0.7500,0.6875
17,0.7059,0.7059,0.7647,0.7647,0.7059
18,0.7222,0.7222,0.7778,0.7778,0.7222
19,0.7368,0.7368,0.7895,0.7895,0.7368
20,0.7500,0.7500,0.8000,0.8000,0.7500
21,0.7619,0.7619,0.7619,0.7619,0.7619
22,0.7727,0.7727,0.7273,0.7727,0.7727
23,0.7826,0.7826,0.7391,0.7826,0.7826
24,0.7917,0.7917,0.7500,0.7917,0.7917
25,0.8000,0.8000,0.7600,0.8000,0.8000
26,0.8077,0.8077,0.7692,0.8077,0.8077
27,0.7778,0.7778,0.7407,0.7778,0.8148
28,0.7857,0.7857,0.7500,0.7500,0.8214
29,0.7931,0.7931,0.7586,0.7586,0.8276
30,0.7667,0.7667,0.7333,0.7333,0.8333
31,0.7742,0.7742,0.7419,0.7419,0.8387
32,0.7812,0.7812,0.7500,0.7500,0.8438
33,0.7879,0.7879,0.7576,0.7576,0.8485
34,0.7941,0.7941,0.7647,0.7647,0.8529
35,0.8000,0.8000,0.7714,0.7714,0.8571
36,0.8056,0.8056,0.7500,0.7500,0.8611
37,0.8108,0.8108,0.7568,0.7297,0.8649
38,0.8158,0.8158,0.7632,0.7368,0.8684
39,0.8205,0.8205,0.7692,0.7436,0.8718
40,0.8250,0.8250,0.7750,0.7500,0.8750
41,0.8293,0.8293,0.7805,0.7561,0.8780
42,0.8333,0.8333,0.7857,0.7619,0.8810
43,0.8372,0.8372,0.7907,0.7674,0.8837
44,0.8409,0.8409,0.7955,0.7727,0.8864
45,0.8444,0.8444,0.8000,0.7778,0.8889
46,0.8478,0.8478,0.8043,0.7826,0.8913
47,0.8511,0.8511,0.8085,0.7872,0.8936
48,0.8542,0.8542,0.8125,0.7917,0.8958
49,0.8571,0.8571,0.8163,0.7959,0.8980
50,0.8600,0.8600,0.8200,0.8000,0.9000
51,0.8627,0.8627,0.8039,0.8039,0.9020
52,0.8462,0.8462,0.8077,0.7885,0.8846
53,0.8302,0.8302,0.8113,0.7925,0.8868
54,0.8148,0.8148,0.8148,0.7963,0.8889
55,0.8182,0.8182,0.8182,0.8000,0.8909
56,0.8214,0.8214,0.8214,0.8036,0.8929
57,0.8246,0.8246,0.8246,0.8070,0.8947
58,0.8276,0.8276,0.8276,0.8103,0.8966
59,0.8305,0.8305,0.8305,0.8136,0.8983
60,0.8333,0.8333,0.8333,0.8000,0.8833
61,0.8361,0.8361,0.8361,0.8033,0.8852
62,0.8387,0.8387,0.8387,0.8065,0.8871
63,0.8413,0.8413,0.8413,0.8095,0.8889
64,0.8438,0.8438,0.8438,0.8125,0.8906
65,0.8462,0.8462,0.8462,0.8154,0.8923
66,0.8485,0.8485,0.8485,0.8182,0.8939
67,0.8507,0.8507,0.8507,0.8209,0.8955
68,0.8529,0.8529,0.8529,0.8235,0.8971
69,0.8551,0.8551,0.8551,0.8261,0.8986
70,0.8571,0.8571,0.8571,0.8286,0.9000
71,0.8592,0.8592,0.8592,0.8310,0.9014
72,0.8472,0.8472,0.8611,0.8333,0.8889
73,0.8356,0.8356,0.8630,0.8356,0.8904
74,0.8378,0.8378,0.8649,0.8378,0.8919
75,0.8400,0.8400,0.8667,0.8400,0.8933
76,0.8421,0.8421,0.8684,0.8421,0.8947
77,0.8442,0.8442,0.8701,0.8442,0.8961
78,0.8462,0.8462,0.8718,0.8462,0.8974
79,0.8481,0.8481,0.8734,0.8481,0.8987
80,0.8500,0.8500,0.8750,0.8500,0.9000
81,0.8519,0.8519,0.8765,0.8519,0.9012
82,0.8537,0.8537,0.8780,0.8537,0.9024
83,0.8554,0.8554,0.8795,0.8554,0.9036
84,0.8571,0.8571,0.8810,0.8571,0.9048
85,0.8588,0.8588,0.8824,0.8588,0.9059
86,0.8605,0.8605,0.8837,0.8605,0.9070
87,0.8621,0.8621,0.8851,0.8621,0.9080
88,0.8636,0.8636,0.8864,0.8636,0.9091
89,0.8652,0.8652,0.8876,0.8652,0.9101
90,0.8667,0.8667,0.8889,0.8667,0.9111
91,0.8681,0.8681,0.8901,0.8681,0.9121
92,0.8696,0.8696,0.8913,0.8696,0.9130
93,0.8710,0.8710,0.8925,0.8710,0.9140
94,0.8723,0.8723,0.8936,0.8723,0.9149
95,0.8737,0.8737,0.8947,0.8737,0.9158
96,0.8750,0.8750,0.8958,0.8750,0.9167
97,0.8763,0.8763,0.8969,0.8763,0.9175
98,0.8776,0.8776,0.8980,0.8776,0.9184
99,0.8788,0.8788,0.8990,0.8687,0.9192
100,0.8800,0.8800,0.9000,0.8600,0.9200
101,0.8812,0.8812,0.9010,0.8614,0.9208
102,0.8824,0.8824,0.9020,0.8627,0.9216
103,0.8835,0.8835,0.9029,0.8641,0.9223
104,0.8846,0.8846,0.9038,0.8654,0.9231
105,0.8857,0.8857,0.8952,0.8571,0.9143
106,0.8868,0.8868,0.8962,0.8585,0.9151
107,0.8879,0.8879,0.8972,0.8598,0.9159
108,0.8889,0.8889,0.8981,0.8611,0.9167
109,0.8899,0.8899,0.8991,0.8624,0.9174
110,0.8909,0.8909,0.9000,0.8636,0.9182
111,0.8919,0.8919,0.9009,0.8649,0.9189
112,0.8929,0.8929,0.8929,0.8661,0.9196
113,0.8938,0.8938,0.8938,0.8673,0.9204
114,0.8947,0.8947,0.8947,0.8684,0.9211
115,0.8957,0.8957,0.8957,0.8696,0.9130
116,0.8966,0.8966,0.8966,0.8707,0.9138
117,0.8974,0.8974,0.8974,0.8718,0.9145
118,0.8983,0.8983,0.8983,0.8729,0.9153
119,0.8992,0.8992,0.8992,0.8739,0.9160
120,0.9000,0.9000,0.9000,0.8750,0.9167
121,0.9008,0.9008,0.9008,0.8760,0.9174
122,0.9016,0.9016,0.9016,0.8770,0.9180
123,0.9024,0.9024,0.9024,0.8780,0.9187
124,0.9032,0.9032,0.9032,0.8790,0.9194
125,0.9040,0.9040,0.9040,0.8800,0.9200
126,0.9048,0.9048,0.9048,0.8810,0.9206
127,0.9055,0.9055,0.9055,0.8819,0.9213
128,0.9062,0.9062,0.9062,0.8828,0.9219
129,0.9070,0.9070,0.8992,0.8837,0.9225
130,0.9077,0.9077,0.8923,0.8846,0.9231
131,0.9084,0.9084,0.8931,0.8855,0.9237
132,0.9091,0.9091,0.8939,0.8864,0.9242
133,0.9098,0.9098,0.8947,0.8872,0.9248
134,0.9104,0.9104,0.8881,0.8881,0.9254
135,0.9111,0.9111,0.8889,0.8889,0.9259
136,0.9118,0.9118,0.8897,0.8897,0.9265
137,0.9124,0.9124,0.8905,0.8905,0.9270
138,0.9130,0.9130,0.8913,0.8913,0.9275
139,0.9137,0.9137,0.8921,0.8921,0.9281
140,0.9143,0.9143,0.8929,0.8929,0.9286
141,0.9149,0.9149,0.8936,0.8936,0.9291
142,0.9155,0.9155,0.8944,0.8944,0.9296
143,0.9161,0.9091,0.8951,0.8951,0.9301
144,0.9167,0.9028,0.8958,0.8958,0.9306
145,0.9172,0.9034,0.8966,0.8966,0.9310
146,0.9178,0.9041,0.8973,0.8973,0.9315
147,0.9184,0.9048,0.8980,0.8980,0.9320
148,0.9189,0.9054,0.8986,0.8986,0.9324
149,0.9195,0.9060,0.8993,0.8993,0.9329
150,0.9200,0.9067,0.9000,0.9000,0.9333
151,0.9205,0.9073,0.9007,0.9007,0.9338
152,0.9211,0.9079,0.9013,0.9013,0.9342
153,0.9216,0.9085,0.9020,0.9020,0.9346
154,0.9221,0.9091,0.9026,0.9026,0.9351
155,0.9226,0.9097,0.9032,0.9032,0.9355
156,0.9231,0.9103,0.9038,0.9038,0.9359
157,0.9236,0.9108,0.9045,0.9045,0.9363
158,0.9241,0.9114,0.9051,0.9051,0.9367
159,0.9245,0.9119,0.9057,0.9057,0.9371
160,0.9250,0.9125,0.9062,0.9062,0.9375
161,0.9255,0.9130,0.9068,0.9068,0.9379
162,0.9259,0.9136,0.9074,0.9074,0.9383
163,0.9264,0.9080,0.9080,0.9080,0.9387
164,0.9268,0.9085,0.9085,0.9085,0.9390
165,0.9273,0.9091,0.9091,0.9091,0.9394
166,0.9277,0.9096,0.9096,0.9096,0.9398
167,0.9222,0.9042,0.9102,0.9042,0.9341
168,0.9226,0.8988,0.9107,0.9048,0.9345
169,0.9231,0.8935,0.9112,0.9053,0.9349
170,0.9235,0.8882,0.9118,0.9059,0.9353
171,0.9240,0.8830,0.9123,0.9064,0.9357
172,0.9244,0.8779,0.9128,0.9070,0.9360
173,0.9249,0.8786,0.9133,0.9075,0.9364
174,0.9253,0.8793,0.9138,0.9080,0.9368
175,0.9257,0.8800,0.9143,0.9086,0.9371
176,0.9261,0.8807,0.9148,0.9091,0.9375
177,0.9209,0.8757,0.9096,0.9096,0.9322
178,0.9213,0.8764,0.9101,0.9101,0.9326
179,0.9218,0.8771,0.9106,0.9106,0.9330
180,0.9167,0.8722,0.9056,0.9111,0.9278
181,0.9116,0.8674,0.9061,0.9116,0.9227
182,0.9066,0.8626,0.9066,0.9121,0.9176
183,0.9016,0.8579,0.9071,0.9126,0.9126
184,0.8967,0.8533,0.9076,0.9130,0.9076
185,0.8919,0.8486,0.9081,0.9135,0.9027
186,0.8871,0.8441,0.9086,0.9140,0.8978
187,0.8824,0.8396,0.9091,0.9091,0.8984
188,0.8777,0.8351,0.9096,0.9096,0.8989
189,0.8730,0.8307,0.9101,0.9101,0.8995
190,0.8684,0.8263,0.9105,0.9105,0.9000
191,0.8691,0.8272,0.9058,0.9058,0.8953
192,0.8698,0.8281,0.9062,0.9062,0.8958
193,0.8653,0.8238,0.9067,0.9016,0.8912
194,0.8608,0.8196,0.9072,0.9021,0.8866
195,0.8564,0.8154,0.9077,0.9026,0.8821
196,0.8520,0.8112,0.9082,0.9031,0.8827
197,0.8477,0.8071,0.9086,0.9036,0.8832
198,0.8434,0.8030,0.9091,0.9040,0.8838
199,0.8442,0.8040,0.9095,0.9045,0.8844
200,0.8450,0.8050,0.9100,0.9050,0.8850
201,0.8458,0.8060,0.9104,0.9055,0.8856
202,0.8465,0.8069,0.9109,0.9059,0.8861
203,0.8473,0.8079,0.9113,0.9064,0.8867
204,0.8480,0.8088,0.9118,0.9069,0.8873
205,0.8488,0.8049,0.9122,0.9073,0.8878
206,0.8447,0.8010,0.9126,0.9078,0.8883
207,0.8454,0.8019,0.9130,0.9082,0.8889
208,0.8413,0.7981,0.9135,0.9087,0.8894
209,0.8373,0.7990,0.9139,0.9091,0.8900
210,0.8333,0.8000,0.9143,0.9095,0.8905
211,0.8294,0.8009,0.9147,0.9100,0.8910
212,0.8255,0.8019,0.9151,0.9104,0.8915
213,0.8263,0.8028,0.9155,0.9108,0.8920
214,0.8271,0.8037,0.9159,0.9112,0.8925
215,0.8233,0.8047,0.9163,0.9116,0.8930
216,0.8241,0.8056,0.9167,0.9120,0.8935
217,0.8249,0.8065,0.9171,0.9124,0.8940
218,0.8257,0.8073,0.9174,0.9128,0.8945
219,0.8265,0.8082,0.9178,0.9132,0.8950
220,0.8273,0.8091,0.9182,0.9136,0.8955
221,0.8281,0.8100,0.9186,0.9140,0.8959
222,0.8288,0.8108,0.9189,0.9144,0.8964
223,0.8251,0.8072,0.9148,0.9103,0.8924
224,0.8214,0.8036,0.9107,0.9107,0.8884
225,0.8222,0.8000,0.9067,0.9111,0.8844
226,0.8230,0.7965,0.9027,0.9115,0.8805
227,0.8238,0.7930,0.8987,0.9119,0.8767
228,0.8246,0.7939,0.8947,0.9123,0.8728
229,0.8253,0.7948,0.8908,0.9083,0.8690
230,0.8261,0.7957,0.8870,0.9087,0.8652
231,0.8268,0.7965,0.8874,0.9091,0.8615
232,0.8276,0.7974,0.8879,0.9095,0.8621
233,0.8283,0.7983,0.8884,0.9056,0.8627
234,0.8291,0.7991,0.8889,0.9060,0.8632
235,0.8298,0.8000,0.8894,0.9064,0.8638
236,0.8305,0.8008,0.8898,0.9068,0.8644
237,0.8312,0.8017,0.8861,0.9072,0.8608
238,0.8319,0.8025,0.8866,0.9076,0.8613
239,0.8326,0.8033,0.8870,0.9079,0.8619
240,0.8333,0.8042,0.8875,0.9083,0.8625
241,0.8340,0.8050,0.8880,0.9087,0.8631
242,0.8347,0.8058,0.8884,0.9091,0.8636
243,0.8354,0.8066,0.8889,0.9095,0.8642
244,0.8361,0.8074,0.8893,0.9098,0.8648
245,0.8367,0.8082,0.8898,0.9102,0.8653
