Iteration,Naive Bayes,Hoeffding Tree,IELM,SGD Perceptron
1,0.0000,0.0000,0.0000,0.0000
2,0.5000,0.5000,0.5000,0.5000
3,0.6667,0.6667,0.6667,0.6667
4,0.7500,0.7500,0.7500,0.7500
5,0.8000,0.8000,0.8000,0.8000
6,0.8333,0.8333,0.8333,0.8333
7,0.8571,0.8571,0.8571,0.8571
8,0.8750,0.8750,0.8750,0.8750
9,0.8889,0.8889,0.8889,0.8889
10,0.9000,0.9000,0.9000,0.9000
11,0.9091,0.9091,0.9091,0.9091
12,0.9167,0.9167,0.9167,0.9167
13,0.9231,0.9231,0.9231,0.9231
14,0.9286,0.9286,0.9286,0.9286
15,0.8667,0.8667,0.8667,0.8667
16,0.8750,0.8750,0.8750,0.8750
17,0.8824,0.8824,0.8824,0.8235
18,0.8889,0.8889,0.8889,0.8333
19,0.8947,0.8947,0.8947,0.7895
20,0.9000,0.9000,0.9000,0.8000
21,0.9048,0.9048,0.9048,0.8095
22,0.9091,0.9091,0.9091,0.8182
23,0.9130,0.9130,0.9130,0.8261
24,0.9167,0.9167,0.9167,0.8333
25,0.9200,0.9200,0.9200,0.8400
26,0.9231,0.9231,0.9231,0.8462
27,0.9259,0.9259,0.9259,0.8519
28,0.9286,0.9286,0.9286,0.8571
29,0.9310,0.9310,0.9310,0.8621
30,0.9333,0.9333,0.9333,0.8667
31,0.9355,0.9355,0.9355,0.8710
32,0.9375,0.9375,0.9375,0.8750
33,0.9394,0.9394,0.9394,0.8788
34,0.9412,0.9412,0.9412,0.8824
35,0.9429,0.9429,0.9429,0.8857
36,0.9444,0.9444,0.9444,0.8889
37,0.9459,0.9459,0.9459,0.8919
38,0.9474,0.9474,0.9474,0.8947
39,0.9487,0.9487,0.9487,0.8974
40,0.9500,0.9500,0.9500,0.9000
41,0.9512,0.9512,0.9512,0.9024
42,0.9524,0.9524,0.9524,0.9048
43,0.9302,0.9302,0.9302,0.8837
44,0.9318,0.9318,0.9318,0.8636
45,0.9333,0.9333,0.9333,0.8667
46,0.9348,0.9348,0.9348,0.8696
47,0.9362,0.9362,0.9362,0.8723
48,0.9167,0.9167,0.9167,0.8750
49,0.9184,0.9184,0.9184,0.8776
50,0.9200,0.9200,0.9200,0.8800
51,0.9216,0.9216,0.9216,0.8824
52,0.9231,0.9231,0.9231,0.8846
53,0.9245,0.9245,0.9245,0.8868
54,0.9259,0.9259,0.9259,0.8889
55,0.9273,0.9273,0.9273,0.8909
56,0.9286,0.9286,0.9286,0.8929
57,0.9298,0.9298,0.9298,0.8947
58,0.9310,0.9310,0.9310,0.8966
59,0.9322,0.9153,0.9322,0.8983
60,0.9333,0.9167,0.9333,0.8833
61,0.9344,0.9180,0.9344,0.8852
62,0.9355,0.9194,0.9355,0.8871
63,0.9365,0.9206,0.9365,0.8889
64,0.9375,0.9219,0.9375,0.8906
65,0.9385,0.9231,0.9385,0.8923
66,0.9394,0.9242,0.9394,0.8939
67,0.9403,0.9254,0.9403,0.8955
68,0.9412,0.9265,0.9412,0.8971
69,0.9420,0.9275,0.9420,0.8986
70,0.9429,0.9286,0.9429,0.9000
71,0.9437,0.9296,0.9437,0.9014
72,0.9444,0.9306,0.9444,0.9028
73,0.9452,0.9315,0.9452,0.9041
74,0.9324,0.9189,0.9324,0.8919
75,0.9333,0.9200,0.9333,0.8933
76,0.9342,0.9211,0.9342,0.8947
77,0.9351,0.9221,0.9351,0.8961
78,0.9359,0.9231,0.9359,0.8974
79,0.9367,0.9241,0.9367,0.8987
80,0.9375,0.9250,0.9375,0.9000
81,0.9383,0.9259,0.9383,0.9012
82,0.9390,0.9268,0.9390,0.8902
83,0.9398,0.9277,0.9398,0.8916
84,0.9405,0.9286,0.9405,0.8929
85,0.9412,0.9294,0.9412,0.8941
86,0.9419,0.9302,0.9419,0.8953
87,0.9425,0.9310,0.9425,0.8966
88,0.9432,0.9318,0.9432,0.8977
89,0.9438,0.9326,0.9438,0.8989
90,0.9444,0.9333,0.9444,0.9000
91,0.9451,0.9341,0.9451,0.9011
92,0.9457,0.9348,0.9457,0.9022
93,0.9462,0.9355,0.9462,0.9032
94,0.9468,0.9362,0.9468,0.9043
95,0.9474,0.9368,0.9474,0.9053
96,0.9479,0.9375,0.9479,0.9062
97,0.9485,0.9381,0.9485,0.9072
98,0.9490,0.9388,0.9490,0.9082
99,0.9495,0.9394,0.9495,0.9091
100,0.9500,0.9400,0.9500,0.9100
101,0.9505,0.9406,0.9505,0.9109
102,0.9510,0.9412,0.9510,0.9118
103,0.9515,0.9417,0.9515,0.9126
104,0.9519,0.9423,0.9519,0.9135
105,0.9524,0.9429,0.9524,0.9143
106,0.9528,0.9434,0.9528,0.9151
107,0.9533,0.9439,0.9533,0.9159
108,0.9537,0.9444,0.9537,0.9167
109,0.9541,0.9450,0.9541,0.9174
110,0.9545,0.9455,0.9545,0.9182
111,0.9550,0.9459,0.9550,0.9189
112,0.9554,0.9464,0.9554,0.9196
113,0.9558,0.9469,0.9558,0.9204
114,0.9561,0.9474,0.9561,0.9211
115,0.9565,0.9478,0.9565,0.9217
116,0.9569,0.9483,0.9569,0.9224
117,0.9573,0.9487,0.9573,0.9231
118,0.9576,0.9492,0.9576,0.9237
119,0.9580,0.9496,0.9580,0.9244
120,0.9583,0.9500,0.9583,0.9250
121,0.9587,0.9504,0.9587,0.9256
122,0.9590,0.9508,0.9590,0.9262
123,0.9593,0.9512,0.9593,0.9268
124,0.9597,0.9516,0.9597,0.9274
125,0.9600,0.9520,0.9600,0.9280
126,0.9603,0.9524,0.9603,0.9286
127,0.9606,0.9528,0.9606,0.9291
128,0.9609,0.9531,0.9609,0.9297
129,0.9612,0.9535,0.9612,0.9302
130,0.9615,0.9538,0.9538,0.9231
131,0.9618,0.9542,0.9542,0.9160
132,0.9621,0.9545,0.9545,0.9167
133,0.9624,0.9549,0.9549,0.9173
134,0.9627,0.9552,0.9552,0.9179
135,0.9630,0.9556,0.9556,0.9185
136,0.9632,0.9559,0.9559,0.9191
137,0.9635,0.9562,0.9562,0.9197
138,0.9638,0.9565,0.9565,0.9203
139,0.9640,0.9568,0.9568,0.9209
140,0.9643,0.9571,0.9571,0.9214
141,0.9645,0.9574,0.9574,0.9220
142,0.9648,0.9577,0.9577,0.9225
