Iteration,Gaussian NB,Hoeffding Tree,IELM,SGD Perceptron,Adaptive RF
1,0.0000,0.0000,0.0000,0.0000,0.0000
2,0.0000,0.0000,0.0000,0.0000,0.0000
3,0.0000,0.3333,0.3333,0.3333,0.3333
4,0.0000,0.2500,0.5000,0.5000,0.2500
5,0.0000,0.2000,0.6000,0.6000,0.2000
6,0.1667,0.3333,0.6667,0.6667,0.3333
7,0.2857,0.4286,0.7143,0.7143,0.4286
8,0.3750,0.5000,0.7500,0.7500,0.5000
9,0.4444,0.5556,0.7778,0.7778,0.5556
10,0.4000,0.5000,0.7000,0.8000,0.6000
11,0.4545,0.5455,0.7273,0.8182,0.6364
12,0.5000,0.5833,0.7500,0.8333,0.6667
13,0.5385,0.6154,0.7692,0.8462,0.6923
14,0.5714,0.6429,0.7857,0.8571,0.7143
15,0.5333,0.6000,0.8000,0.8667,0.7333
16,0.5625,0.6250,0.8125,0.8750,0.7500
17,0.5882,0.6471,0.8235,0.8824,0.7647
18,0.6111,0.6667,0.8333,0.8889,0.7778
19,0.6316,0.6842,0.8421,0.8947,0.7895
20,0.6500,0.7000,0.8500,0.9000,0.8000
21,0.6667,0.7143,0.8571,0.8571,0.8095
22,0.6818,0.7273,0.8636,0.8182,0.8182
23,0.6957,0.7391,0.8696,0.8261,0.8261
24,0.7083,0.7500,0.8750,0.8333,0.8333
25,0.7200,0.7600,0.8800,0.8400,0.8400
26,0.7308,0.7692,0.8846,0.8462,0.8462
27,0.7037,0.7407,0.8519,0.8519,0.8519
28,0.7143,0.7500,0.8571,0.8571,0.8571
29,0.7241,0.7586,0.8621,0.8621,0.8621
30,0.7333,0.7667,0.8667,0.8667,0.8667
31,0.7419,0.7742,0.8710,0.8710,0.8710
32,0.7500,0.7812,0.8750,0.8750,0.8750
33,0.7576,0.7879,0.8788,0.8788,0.8788
34,0.7647,0.7941,0.8824,0.8824,0.8824
35,0.7714,0.8000,0.8857,0.8857,0.8857
36,0.7778,0.8056,0.8889,0.8889,0.8889
37,0.7838,0.8108,0.8919,0.8919,0.8919
38,0.7895,0.8158,0.8947,0.8947,0.8947
39,0.7949,0.8205,0.8974,0.8974,0.8974
40,0.8000,0.8250,0.9000,0.9000,0.9000
41,0.8049,0.8293,0.9024,0.9024,0.9024
42,0.8095,0.8333,0.9048,0.9048,0.9048
43,0.8140,0.8372,0.9070,0.9070,0.9070
44,0.8182,0.8409,0.9091,0.9091,0.9091
45,0.8222,0.8444,0.8889,0.9111,0.9111
46,0.8261,0.8478,0.8913,0.9130,0.9130
47,0.8298,0.8511,0.8936,0.9149,0.9149
48,0.8333,0.8542,0.8958,0.9167,0.9167
49,0.8367,0.8571,0.8980,0.9184,0.9184
50,0.8200,0.8400,0.8800,0.9200,0.9200
51,0.8235,0.8431,0.8824,0.9216,0.9216
52,0.8269,0.8462,0.8846,0.9231,0.9231
53,0.8302,0.8491,0.8868,0.9245,0.9245
54,0.8333,0.8519,0.8889,0.9259,0.9259
55,0.8364,0.8545,0.8909,0.9273,0.9273
56,0.8393,0.8571,0.8929,0.9286,0.9286
57,0.8421,0.8596,0.8947,0.9298,0.9298
58,0.8448,0.8621,0.8966,0.9310,0.9310
59,0.8475,0.8644,0.8983,0.9322,0.9322
